Site Name,Sampling Date,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Dissolved,Phosphorus Total Dissolved,Phosphorus Total,Vanadium Dissolved,Turbidity,pH,Oxygen dissolved % saturation,OXYGEN BIOCHEMICAL DEMAND,Unit Symbol,Distance Group,Nitrogen Total,Vanadium Total Recoverable
Kearl LAKE,2000-09-27,,,20300.0,,,,,,,,,9.0,11.0,,,8.0,,,µg/l,Near-Fields,,
Kearl LAKE,2001-09-13,,,19600.0,,,,,,,,,13.0,13.0,,,7.9,,,µg/l,Near-Fields,,
Kearl LAKE,2002-09-04,,,20600.0,,,,,,,,,2.0,9.0,,,7.7,,,µg/l,Near-Fields,,
Kearl LAKE,2003-03-24,6.0,19.4,37800.0,38600.0,5.4,7.7,1.2,1.7,0.5,1.0,,8.0,15.0,0.4,,7.8,1.8,2000.0,µg/l,Near-Fields,,
Kearl LAKE,2003-08-31,,,16900.0,,,,,,,,1127.0,6.0,23.0,,8.3,7.94,,,µg/l,Near-Fields,,
Kearl LAKE,2004-06-17,,,15100.0,,,,,,,,773.0,3.0,21.0,,,7.94,,,µg/l,Near-Fields,,
Kearl LAKE,2004-07-14,,,16100.000000000002,,,,,,,,880.0,9.0,25.0,,1.5,7.97,,,µg/l,Near-Fields,,
Kearl LAKE,2004-07-26,2.12,17.8,17400.0,17600.0,0.17,0.223,0.00726,0.143,0.178,0.183,,14.0,19.0,0.2,,8.1,,2000.0,µg/l,Near-Fields,,
Kearl LAKE,2004-08-24,0.94,12.7,16600.0,18100.0,0.118,0.166,0.0059,0.0314,0.02,0.06,942.0,7.0,27.0,0.201,1.5,8.04,,,µg/l,Near-Fields,,
Kearl LAKE,2004-09-25,,,17200.0,,,,,,,,1137.0,7.0,28.0,,,7.98,,,µg/l,Near-Fields,,
Kearl LAKE,2005-04-07,,,21600.0,,,,,,,,1881.0,7.0,17.0,,1.45,7.49,,,µg/l,Near-Fields,,
Kearl LAKE,2005-05-26,,,12400.0,,,,,,,,955.0,7.0,20.0,,,7.82,,,µg/l,Near-Fields,,
Kearl LAKE,2005-07-13,,,18600.0,,,,,,,,1062.0,9.0,23.0,,,7.69,,,µg/l,Near-Fields,,
Kearl LAKE,2005-07-22,2.69,23.2,15100.0,15400.0,0.1,0.1,0.0312,0.037,0.06,0.0751,,5.0,16.0,0.257,,7.9,91.0,2000.0,µg/l,Near-Fields,,
Kearl LAKE,2005-08-30,,14.0,27570.0,15200.0,,0.2,,0.0485,,0.26,943.0,5.0,22.0,,1.5,8.0,,,µg/l,Near-Fields,,
