Sampling Timestamp,Nitrogen Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/10/1999 10:25 AM,0.258,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,99SWE06000,99SWE06000,0.007,Centre,EUPHOTIC COMPOSITE,08/10/1999 9:25 AM
08/31/2000 9:20 AM,0.34,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04000,00SWE04000,0.007,Centre,EUPHOTIC COMPOSITE,08/31/2000 8:20 AM
09/13/2001 10:45 AM,0.297,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03691,01SWE03122,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,09/13/2001 11:00 AM
10/01/2002 12:00 PM,0.324,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE03130,02SWE03130,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,10/01/2002 11:00 AM
08/28/2003 8:55 AM,0.271,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE01770,03SWE01770,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/28/2003 7:55 AM
08/29/2004 8:45 AM,0.319,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE03018,04SWE02271,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/29/2004 7:45 AM
08/27/2005 9:58 AM,0.258,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE02657,05SWE02658,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2005 8:58 AM
08/21/2006 12:10 PM,0.413,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,06SWE03292,06SWE01886,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/21/2006 11:10 AM
08/21/2007 9:40 AM,0.273,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE02684,07SWE02684,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/21/2007 8:40 AM
08/27/2008 10:05 AM,0.332,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03930,08SWE02145,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2008 9:05 AM
08/19/2009 10:30 AM,0.28,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00827,09SWE00737,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2009 9:30 AM
08/30/2011 10:30 AM,0.289,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,11SWE06596,11SWE06597,0.005,Centre,SINGLE EUPHOTIC COMPOSITE,08/30/2011 9:30 AM
08/30/2012 9:00 AM,0.3,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,12SWE02310,12SWE02311,0.005,Centre,SINGLE EUPHOTIC COMPOSITE,08/30/2012 8:00 AM
08/26/2013 12:45 PM,0.343,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,13SWE02199,13SWE02200,0.005,Centre,SINGLE EUPHOTIC COMPOSITE,08/26/2013 11:45 AM
08/19/2014 2:30 PM,0.307,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3435,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,14SWE02262,14SWE02263,0.007,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2014 1:30 PM
